,name,mcc,time,transaction_value
0,people0,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,22
1,people0,Bakeries,2020-04-30 11:30:00,77
2,people0,Drug Stores and Pharmacies,2020-04-30 13:41:00,32
3,people0,"Grocery Stores, Supermarkets",2020-04-30 15:53:00,29
4,people0,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 18:51:00,34
5,people0,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 20:02:00,28
6,people0,Bakeries,2020-04-30 20:10:00,69
7,people0,Book Stores,2020-04-30 22:26:00,36
8,people0,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 00:05:00,41
9,people0,"Grocery Stores, Supermarkets",2020-05-01 00:16:00,38
10,people0,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 00:46:00,44
11,people1,Bakeries,2020-04-30 09:00:00,15
12,people1,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:00:00,64
13,people1,Book Stores,2020-04-30 14:50:00,39
14,people1,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 17:14:00,53
15,people1,Fast Food Restaurants,2020-04-30 18:12:00,40
16,people1,Fast Food Restaurants,2020-04-30 19:37:00,45
17,people1,Fast Food Restaurants,2020-04-30 20:36:00,15
18,people1,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 21:00:00,54
19,people1,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 23:41:00,24
20,people1,Fast Food Restaurants,2020-05-01 00:14:00,41
21,people1,Fast Food Restaurants,2020-05-01 01:13:00,38
22,people2,Fast Food Restaurants,2020-04-30 09:00:00,60
23,people2,Drug Stores and Pharmacies,2020-04-30 11:21:00,37
24,people2,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 14:23:00,54
25,people2,Bakeries,2020-04-30 14:47:00,33
26,people2,Book Stores,2020-04-30 17:46:00,14
27,people2,Fast Food Restaurants,2020-04-30 18:41:00,30
28,people2,Fast Food Restaurants,2020-04-30 21:54:00,65
29,people2,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 00:01:00,20
30,people2,Fast Food Restaurants,2020-05-01 02:58:00,31
31,people2,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 03:57:00,52
32,people2,Bakeries,2020-05-01 05:45:00,41
33,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,56
34,people3,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:01:00,30
35,people3,"Grocery Stores, Supermarkets",2020-04-30 11:58:00,32
36,people3,Fast Food Restaurants,2020-04-30 13:20:00,29
37,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:49:00,37
38,people3,Book Stores,2020-04-30 14:22:00,22
39,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:05:00,57
40,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:39:00,44
41,people3,"Grocery Stores, Supermarkets",2020-04-30 18:21:00,79
