,date,data
0,2019-05-05,9416
1,2019-05-12,9396
2,2019-05-19,6625
3,2019-05-26,7624
4,2019-06-02,8070
5,2019-06-09,5521
6,2019-06-16,6935
7,2019-06-23,5111
8,2019-06-30,5892
9,2019-07-07,9756
10,2019-07-14,5814
11,2019-07-21,8474
12,2019-07-28,9969
13,2019-08-04,6551
14,2019-08-11,7213
15,2019-08-18,6710
16,2019-08-25,9036
17,2019-09-01,7737
18,2019-09-08,8693
19,2019-09-15,9782
20,2019-09-22,6318
21,2019-09-29,7337
22,2019-10-06,9092
23,2019-10-13,7840
24,2019-10-20,9592
25,2019-10-27,8339
26,2019-11-03,8252
27,2019-11-10,6004
28,2019-11-17,8476
29,2019-11-24,6339
30,2019-12-01,7815
31,2019-12-08,8246
32,2019-12-15,7946
33,2019-12-22,7932
34,2019-12-29,6579
35,2020-01-05,9688
36,2020-01-12,8156
37,2020-01-19,8541
38,2020-01-26,5495
39,2020-02-02,5997
40,2020-02-09,7966
41,2020-02-16,8817
42,2020-02-23,6265
43,2020-03-01,5517
44,2020-03-08,6239
45,2020-03-15,5795
46,2020-03-22,7250
47,2020-03-29,8040
48,2020-04-05,6328
49,2020-04-12,9399
50,2020-04-19,5986
51,2020-04-26,9921
