,date,total_transaction,avg_transaction
0,2019-05-01,7479,556
1,2019-05-04,5157,628
2,2019-05-07,9296,883
3,2019-05-10,7055,862
4,2019-05-13,6634,855
5,2019-05-16,9087,723
6,2019-05-19,9027,989
7,2019-05-22,6018,708
8,2019-05-25,6689,628
9,2019-05-28,9126,875
10,2019-05-31,8396,563
11,2019-06-03,8452,587
12,2019-06-06,6964,622
13,2019-06-09,9546,866
14,2019-06-12,7735,917
15,2019-06-15,6518,972
16,2019-06-18,6576,733
17,2019-06-21,5924,818
18,2019-06-24,6832,992
19,2019-06-27,6896,794
20,2019-06-30,7457,923
21,2019-07-03,5203,844
22,2019-07-06,8677,917
23,2019-07-09,8609,793
24,2019-07-12,8562,726
25,2019-07-15,6609,821
26,2019-07-18,9896,601
27,2019-07-21,5400,515
28,2019-07-24,5561,503
29,2019-07-27,6476,506
30,2019-07-30,5401,509
31,2019-08-02,9253,834
32,2019-08-05,9087,563
33,2019-08-08,7773,820
34,2019-08-11,9879,939
35,2019-08-14,7134,763
36,2019-08-17,5065,729
37,2019-08-20,5974,862
38,2019-08-23,6924,945
39,2019-08-26,7776,998
40,2019-08-29,6835,511
41,2019-09-01,8387,846
42,2019-09-04,7395,893
43,2019-09-07,8988,916
44,2019-09-10,6336,691
45,2019-09-13,5583,573
46,2019-09-16,5947,575
47,2019-09-19,5171,755
48,2019-09-22,9848,532
49,2019-09-25,5004,609
50,2019-09-28,8612,985
51,2019-10-01,6509,841
52,2019-10-04,5446,741
53,2019-10-07,7369,684
54,2019-10-10,8931,550
55,2019-10-13,7211,922
56,2019-10-16,6301,580
57,2019-10-19,6340,705
58,2019-10-22,7741,553
59,2019-10-25,5205,869
60,2019-10-28,5309,712
61,2019-10-31,7535,841
62,2019-11-03,8035,776
63,2019-11-06,8629,562
64,2019-11-09,7580,702
65,2019-11-12,6459,738
66,2019-11-15,6355,663
67,2019-11-18,9351,690
68,2019-11-21,6673,697
69,2019-11-24,5409,745
70,2019-11-27,7992,568
71,2019-11-30,6183,607
72,2019-12-03,7681,917
73,2019-12-06,7278,818
74,2019-12-09,9227,661
75,2019-12-12,8979,552
76,2019-12-15,7982,824
77,2019-12-18,8285,927
78,2019-12-21,5089,986
79,2019-12-24,6568,503
80,2019-12-27,5856,615
81,2019-12-30,5926,765
82,2020-01-02,8957,795
83,2020-01-05,7936,798
84,2020-01-08,8613,578
85,2020-01-11,6644,618
86,2020-01-14,9926,716
87,2020-01-17,6401,908
88,2020-01-20,9040,576
89,2020-01-23,6153,500
90,2020-01-26,9364,565
91,2020-01-29,9045,804
92,2020-02-01,7583,614
93,2020-02-04,8048,912
94,2020-02-07,6231,595
95,2020-02-10,8684,856
96,2020-02-13,5004,898
97,2020-02-16,9643,790
98,2020-02-19,6967,669
99,2020-02-22,5415,835
100,2020-02-25,9591,669
101,2020-02-28,8364,760
102,2020-03-02,5167,905
103,2020-03-05,5346,944
104,2020-03-08,5906,918
105,2020-03-11,7971,932
106,2020-03-14,9817,934
107,2020-03-17,7216,802
108,2020-03-20,8582,698
109,2020-03-23,7464,927
110,2020-03-26,8990,585
111,2020-03-29,8365,805
112,2020-04-01,8239,796
113,2020-04-04,7134,752
114,2020-04-07,9105,731
115,2020-04-10,7217,954
116,2020-04-13,9051,990
117,2020-04-16,5593,591
118,2020-04-19,5436,622
119,2020-04-22,8663,518
120,2020-04-25,9475,954
121,2020-04-28,6770,500
122,2020-05-01,7562,646
