,name,mcc,time,transaction_value,time_interval_to_next,time_interval_from_last
0,people0,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,29,0 days 01:34:00.000000000,0 days 00:00:00.000000000
1,people0,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 10:34:00,61,0 days 00:03:00.000000000,0 days 01:34:00.000000000
2,people0,Fast Food Restaurants,2020-04-30 10:37:00,67,0 days 01:47:00.000000000,0 days 00:03:00.000000000
3,people0,Drug Stores and Pharmacies,2020-04-30 12:24:00,29,0 days 00:54:00.000000000,0 days 01:47:00.000000000
4,people0,Fast Food Restaurants,2020-04-30 13:18:00,43,0 days 01:06:00.000000000,0 days 00:54:00.000000000
5,people0,Bakeries,2020-04-30 14:24:00,52,0 days 00:38:00.000000000,0 days 01:06:00.000000000
6,people0,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:02:00,72,0 days 00:17:00.000000000,0 days 00:38:00.000000000
7,people0,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:19:00,41,0 days 00:00:00.000000000,0 days 00:17:00.000000000
8,people1,Bakeries,2020-04-30 09:00:00,26,0 days 01:29:00.000000000,0 days 00:00:00.000000000
9,people1,Drug Stores and Pharmacies,2020-04-30 10:29:00,56,0 days 00:59:00.000000000,0 days 01:29:00.000000000
10,people1,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:28:00,78,0 days 01:05:00.000000000,0 days 00:59:00.000000000
11,people1,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:33:00,58,0 days 02:45:00.000000000,0 days 01:05:00.000000000
12,people1,Bakeries,2020-04-30 15:18:00,38,0 days 00:01:00.000000000,0 days 02:45:00.000000000
13,people1,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:19:00,30,0 days 01:41:00.000000000,0 days 00:01:00.000000000
14,people1,Bakeries,2020-04-30 17:00:00,70,0 days 01:49:00.000000000,0 days 01:41:00.000000000
15,people1,"Grocery Stores, Supermarkets",2020-04-30 18:49:00,39,0 days 00:00:00.000000000,0 days 01:49:00.000000000
16,people2,Fast Food Restaurants,2020-04-30 09:00:00,18,0 days 03:10:00.000000000,0 days 00:00:00.000000000
17,people2,Bakeries,2020-04-30 12:10:00,65,0 days 01:42:00.000000000,0 days 03:10:00.000000000
18,people2,"Grocery Stores, Supermarkets",2020-04-30 13:52:00,13,0 days 03:14:00.000000000,0 days 01:42:00.000000000
19,people2,"Grocery Stores, Supermarkets",2020-04-30 17:06:00,70,0 days 02:49:00.000000000,0 days 03:14:00.000000000
20,people2,Drug Stores and Pharmacies,2020-04-30 19:55:00,27,0 days 02:35:00.000000000,0 days 02:49:00.000000000
21,people2,Fast Food Restaurants,2020-04-30 22:30:00,70,0 days 03:02:00.000000000,0 days 02:35:00.000000000
22,people2,Drug Stores and Pharmacies,2020-05-01 01:32:00,70,0 days 02:55:00.000000000,0 days 03:02:00.000000000
23,people2,Fast Food Restaurants,2020-05-01 04:27:00,29,0 days 00:00:00.000000000,0 days 02:55:00.000000000
24,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,47,0 days 01:13:00.000000000,0 days 00:00:00.000000000
25,people3,Fast Food Restaurants,2020-04-30 10:13:00,47,0 days 02:55:00.000000000,0 days 01:13:00.000000000
26,people3,Drug Stores and Pharmacies,2020-04-30 13:08:00,60,0 days 01:39:00.000000000,0 days 02:55:00.000000000
27,people3,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 14:47:00,37,0 days 00:20:00.000000000,0 days 01:39:00.000000000
28,people3,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 15:07:00,13,0 days 02:37:00.000000000,0 days 00:20:00.000000000
29,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 17:44:00,50,0 days 02:51:00.000000000,0 days 02:37:00.000000000
30,people3,Bakeries,2020-04-30 20:35:00,68,0 days 02:59:00.000000000,0 days 02:51:00.000000000
