location,invidual,time,spending
8,0,14,65
2,0,11,53
6,0,4,77
13,0,3,9
12,0,9,29
1,0,7,34
19,0,2,12
9,0,5,60
10,0,1,23
0,0,0,78
6,1,14,68
4,1,4,21
16,1,9,88
3,1,3,23
2,1,0,45
19,1,6,69
0,1,1,74
8,1,10,31
9,1,7,23
10,1,5,66
7,2,4,48
14,2,12,21
16,2,7,60
8,2,3,51
5,2,6,52
2,2,14,82
10,2,5,58
0,2,9,50
3,2,2,54
6,2,13,71
3,3,4,95
14,3,6,46
0,3,3,72
17,3,10,85
1,3,8,90
11,3,5,93
8,3,0,31
12,3,7,25
7,3,14,11
18,3,11,75
6,4,5,50
10,4,4,17
13,4,0,74
1,4,14,49
7,4,10,23
18,4,6,9
9,4,12,87
3,4,3,53
2,4,7,21
4,4,2,73
