,sequence,source,target,count,id
0,-3,-2Pharmacy,-3Cafe,2,0
1,-3,-2Restaurant,-3Pharmacy,1,1
2,-3,-2School,-3Cinema,1,2
3,-3,-2Restaurant,-3School,1,3
4,-2,-1Restaurant,-2Restaurant,1,0
5,-2,-1Cinema,-2School,1,1
6,-2,-1Restaurant,-2Pharmacy,1,2
7,-2,-1Pharmacy,-2Pharmacy,1,3
8,-2,-1School,-2Restaurant,1,4
9,-1,0Cafe,-1Restaurant,2,0
10,-1,0Cafe,-1School,1,1
11,-1,0Cafe,-1Cinema,1,2
12,-1,0Cafe,-1Pharmacy,1,3
13,0,0Cafe,0Cafe,1,0
14,1,0Cafe,1School,2,0
15,1,0Cafe,1Theatre,2,1
16,1,0Cafe,1Pharmacy,1,2
17,2,1Theatre,2Surpermarket,1,0
18,2,1Pharmacy,2Pharmacy,1,1
19,2,1Theatre,2Restaurant,1,2
20,2,1School,2Theatre,1,3
21,2,1School,2Restaurant,1,4
22,3,2Pharmacy,3Pharmacy,1,0
23,3,2Surpermarket,3Cafe,1,1
24,3,2Theatre,3Restaurant,1,2
25,3,2Restaurant,3Theatre,1,3
26,3,2Restaurant,3School,1,4
