,date,total_transaction,avg_transaction
0,2020-04-30 00:00:00,9865,502
1,2020-04-30 00:05:00,9652,565
2,2020-04-30 00:10:00,7180,914
3,2020-04-30 00:15:00,6153,900
4,2020-04-30 00:20:00,9030,968
5,2020-04-30 00:25:00,9559,897
6,2020-04-30 00:30:00,7765,658
7,2020-04-30 00:35:00,7237,785
8,2020-04-30 00:40:00,7052,570
9,2020-04-30 00:45:00,5828,505
10,2020-04-30 00:50:00,6895,657
11,2020-04-30 00:55:00,6690,975
12,2020-04-30 01:00:00,8730,814
13,2020-04-30 01:05:00,9267,618
14,2020-04-30 01:10:00,7399,777
15,2020-04-30 01:15:00,5820,853
16,2020-04-30 01:20:00,8893,634
17,2020-04-30 01:25:00,7279,952
18,2020-04-30 01:30:00,9585,584
19,2020-04-30 01:35:00,9985,591
20,2020-04-30 01:40:00,6795,684
21,2020-04-30 01:45:00,8298,732
22,2020-04-30 01:50:00,8664,880
23,2020-04-30 01:55:00,6719,756
24,2020-04-30 02:00:00,9050,887
25,2020-04-30 02:05:00,7904,818
26,2020-04-30 02:10:00,7841,667
27,2020-04-30 02:15:00,8670,675
28,2020-04-30 02:20:00,6864,805
29,2020-04-30 02:25:00,9040,998
30,2020-04-30 02:30:00,5597,628
31,2020-04-30 02:35:00,8649,832
32,2020-04-30 02:40:00,8199,948
33,2020-04-30 02:45:00,9267,764
34,2020-04-30 02:50:00,8552,685
35,2020-04-30 02:55:00,7398,878
36,2020-04-30 03:00:00,6264,536
37,2020-04-30 03:05:00,5564,969
38,2020-04-30 03:10:00,5091,823
39,2020-04-30 03:15:00,9976,845
40,2020-04-30 03:20:00,9998,650
41,2020-04-30 03:25:00,9957,802
42,2020-04-30 03:30:00,7694,909
43,2020-04-30 03:35:00,8502,592
44,2020-04-30 03:40:00,5136,915
45,2020-04-30 03:45:00,9813,992
46,2020-04-30 03:50:00,7935,627
47,2020-04-30 03:55:00,5264,970
48,2020-04-30 04:00:00,5123,909
49,2020-04-30 04:05:00,9969,988
50,2020-04-30 04:10:00,6778,704
51,2020-04-30 04:15:00,8607,767
52,2020-04-30 04:20:00,7046,955
53,2020-04-30 04:25:00,6227,732
54,2020-04-30 04:30:00,9590,914
55,2020-04-30 04:35:00,7131,910
56,2020-04-30 04:40:00,8109,962
57,2020-04-30 04:45:00,7567,714
58,2020-04-30 04:50:00,6357,939
59,2020-04-30 04:55:00,9232,579
60,2020-04-30 05:00:00,9633,798
61,2020-04-30 05:05:00,6319,624
62,2020-04-30 05:10:00,8992,534
63,2020-04-30 05:15:00,6768,571
64,2020-04-30 05:20:00,7737,985
65,2020-04-30 05:25:00,5865,835
66,2020-04-30 05:30:00,5666,635
67,2020-04-30 05:35:00,9488,838
68,2020-04-30 05:40:00,7456,900
69,2020-04-30 05:45:00,9208,848
70,2020-04-30 05:50:00,8518,682
71,2020-04-30 05:55:00,7717,864
72,2020-04-30 06:00:00,8852,796
73,2020-04-30 06:05:00,8682,733
74,2020-04-30 06:10:00,9189,922
75,2020-04-30 06:15:00,6683,524
76,2020-04-30 06:20:00,8135,660
77,2020-04-30 06:25:00,9360,903
78,2020-04-30 06:30:00,6910,779
79,2020-04-30 06:35:00,9426,781
80,2020-04-30 06:40:00,8014,534
81,2020-04-30 06:45:00,9429,840
82,2020-04-30 06:50:00,9518,842
83,2020-04-30 06:55:00,7202,900
84,2020-04-30 07:00:00,5908,904
85,2020-04-30 07:05:00,5343,804
86,2020-04-30 07:10:00,7197,779
87,2020-04-30 07:15:00,5376,882
88,2020-04-30 07:20:00,8606,837
89,2020-04-30 07:25:00,8382,686
90,2020-04-30 07:30:00,5627,529
91,2020-04-30 07:35:00,9710,926
92,2020-04-30 07:40:00,9696,925
93,2020-04-30 07:45:00,5018,531
94,2020-04-30 07:50:00,9059,509
95,2020-04-30 07:55:00,5053,989
96,2020-04-30 08:00:00,9074,881
97,2020-04-30 08:05:00,5768,793
98,2020-04-30 08:10:00,5000,904
99,2020-04-30 08:15:00,8001,856
100,2020-04-30 08:20:00,9122,708
101,2020-04-30 08:25:00,6313,883
102,2020-04-30 08:30:00,5298,555
103,2020-04-30 08:35:00,8696,692
104,2020-04-30 08:40:00,5195,841
105,2020-04-30 08:45:00,5436,964
106,2020-04-30 08:50:00,7778,757
107,2020-04-30 08:55:00,7994,644
108,2020-04-30 09:00:00,6868,799
109,2020-04-30 09:05:00,6621,597
110,2020-04-30 09:10:00,7061,944
111,2020-04-30 09:15:00,8220,685
112,2020-04-30 09:20:00,9776,557
113,2020-04-30 09:25:00,6086,761
114,2020-04-30 09:30:00,5005,684
115,2020-04-30 09:35:00,5188,869
116,2020-04-30 09:40:00,5605,793
117,2020-04-30 09:45:00,6593,708
118,2020-04-30 09:50:00,7844,971
119,2020-04-30 09:55:00,5024,627
120,2020-04-30 10:00:00,6923,506
121,2020-04-30 10:05:00,7112,753
122,2020-04-30 10:10:00,9323,861
123,2020-04-30 10:15:00,8222,789
124,2020-04-30 10:20:00,5628,976
125,2020-04-30 10:25:00,5700,672
126,2020-04-30 10:30:00,5231,609
127,2020-04-30 10:35:00,8946,713
128,2020-04-30 10:40:00,5450,813
129,2020-04-30 10:45:00,9295,758
130,2020-04-30 10:50:00,5911,639
131,2020-04-30 10:55:00,8025,683
132,2020-04-30 11:00:00,6855,905
133,2020-04-30 11:05:00,9368,596
134,2020-04-30 11:10:00,9562,580
135,2020-04-30 11:15:00,9295,920
136,2020-04-30 11:20:00,9174,803
137,2020-04-30 11:25:00,5447,646
138,2020-04-30 11:30:00,9160,658
139,2020-04-30 11:35:00,6669,777
