,date,total_transaction,avg_transaction
0,2020-04-01 00:00:00,7696,801
1,2020-04-01 03:00:00,6872,876
2,2020-04-01 06:00:00,8289,936
3,2020-04-01 09:00:00,9864,647
4,2020-04-01 12:00:00,5691,526
5,2020-04-01 15:00:00,9529,572
6,2020-04-01 18:00:00,6932,681
7,2020-04-01 21:00:00,6472,573
8,2020-04-02 00:00:00,8069,720
9,2020-04-02 03:00:00,7680,624
10,2020-04-02 06:00:00,5099,972
11,2020-04-02 09:00:00,5670,777
12,2020-04-02 12:00:00,6361,863
13,2020-04-02 15:00:00,9716,938
14,2020-04-02 18:00:00,8040,717
15,2020-04-02 21:00:00,6814,677
16,2020-04-03 00:00:00,5733,935
17,2020-04-03 03:00:00,9349,749
18,2020-04-03 06:00:00,6888,571
19,2020-04-03 09:00:00,7888,588
20,2020-04-03 12:00:00,9099,585
21,2020-04-03 15:00:00,5486,666
22,2020-04-03 18:00:00,7918,842
23,2020-04-03 21:00:00,7868,719
24,2020-04-04 00:00:00,9487,780
25,2020-04-04 03:00:00,8214,516
26,2020-04-04 06:00:00,9347,513
27,2020-04-04 09:00:00,9813,866
28,2020-04-04 12:00:00,7428,594
29,2020-04-04 15:00:00,6067,975
30,2020-04-04 18:00:00,7383,561
31,2020-04-04 21:00:00,7467,717
32,2020-04-05 00:00:00,8666,953
33,2020-04-05 03:00:00,8996,535
34,2020-04-05 06:00:00,9941,827
35,2020-04-05 09:00:00,5077,541
36,2020-04-05 12:00:00,6367,638
37,2020-04-05 15:00:00,7422,636
38,2020-04-05 18:00:00,5077,891
39,2020-04-05 21:00:00,6519,511
40,2020-04-06 00:00:00,8782,587
41,2020-04-06 03:00:00,7377,796
42,2020-04-06 06:00:00,7357,788
43,2020-04-06 09:00:00,6941,808
44,2020-04-06 12:00:00,6228,543
45,2020-04-06 15:00:00,7235,831
46,2020-04-06 18:00:00,9650,542
47,2020-04-06 21:00:00,9659,808
48,2020-04-07 00:00:00,7494,730
49,2020-04-07 03:00:00,7519,989
50,2020-04-07 06:00:00,8467,750
51,2020-04-07 09:00:00,8415,735
52,2020-04-07 12:00:00,7187,931
53,2020-04-07 15:00:00,7098,674
54,2020-04-07 18:00:00,6825,861
55,2020-04-07 21:00:00,5284,506
56,2020-04-08 00:00:00,5459,573
57,2020-04-08 03:00:00,6808,831
58,2020-04-08 06:00:00,5984,991
59,2020-04-08 09:00:00,7931,826
60,2020-04-08 12:00:00,8379,934
61,2020-04-08 15:00:00,5606,917
