,date,total_transaction,avg_transaction
0,2020-04-25 00:00:00,9925,706
1,2020-04-25 00:30:00,7470,706
2,2020-04-25 01:00:00,5756,722
3,2020-04-25 01:30:00,8971,961
4,2020-04-25 02:00:00,9247,522
5,2020-04-25 02:30:00,9115,879
6,2020-04-25 03:00:00,6220,549
7,2020-04-25 03:30:00,5042,559
8,2020-04-25 04:00:00,7222,859
9,2020-04-25 04:30:00,6389,726
10,2020-04-25 05:00:00,7378,716
11,2020-04-25 05:30:00,9406,552
12,2020-04-25 06:00:00,7471,558
13,2020-04-25 06:30:00,9529,672
14,2020-04-25 07:00:00,6469,790
15,2020-04-25 07:30:00,5037,851
16,2020-04-25 08:00:00,5515,812
17,2020-04-25 08:30:00,9368,597
18,2020-04-25 09:00:00,6566,793
19,2020-04-25 09:30:00,8087,859
20,2020-04-25 10:00:00,7280,857
21,2020-04-25 10:30:00,7271,748
22,2020-04-25 11:00:00,8957,876
23,2020-04-25 11:30:00,9324,731
24,2020-04-25 12:00:00,5116,755
25,2020-04-25 12:30:00,6767,749
26,2020-04-25 13:00:00,9008,980
27,2020-04-25 13:30:00,8381,644
28,2020-04-25 14:00:00,7477,736
29,2020-04-25 14:30:00,9509,974
30,2020-04-25 15:00:00,9053,522
31,2020-04-25 15:30:00,5182,837
32,2020-04-25 16:00:00,7997,786
33,2020-04-25 16:30:00,7958,852
34,2020-04-25 17:00:00,7838,897
35,2020-04-25 17:30:00,8646,910
36,2020-04-25 18:00:00,5137,771
37,2020-04-25 18:30:00,9816,978
38,2020-04-25 19:00:00,7256,662
39,2020-04-25 19:30:00,6747,721
40,2020-04-25 20:00:00,5655,758
41,2020-04-25 20:30:00,7940,943
42,2020-04-25 21:00:00,7493,559
43,2020-04-25 21:30:00,8085,597
44,2020-04-25 22:00:00,5195,711
45,2020-04-25 22:30:00,6119,969
46,2020-04-25 23:00:00,8805,806
47,2020-04-25 23:30:00,6403,913
48,2020-04-26 00:00:00,8284,577
49,2020-04-26 00:30:00,8589,815
50,2020-04-26 01:00:00,5630,838
51,2020-04-26 01:30:00,8920,902
52,2020-04-26 02:00:00,9409,907
53,2020-04-26 02:30:00,9867,589
54,2020-04-26 03:00:00,6047,585
55,2020-04-26 03:30:00,9452,785
56,2020-04-26 04:00:00,7253,678
57,2020-04-26 04:30:00,5240,928
58,2020-04-26 05:00:00,5986,518
59,2020-04-26 05:30:00,7550,511
60,2020-04-26 06:00:00,5582,556
61,2020-04-26 06:30:00,8178,758
62,2020-04-26 07:00:00,8622,837
63,2020-04-26 07:30:00,7139,559
64,2020-04-26 08:00:00,8431,823
65,2020-04-26 08:30:00,5223,701
66,2020-04-26 09:00:00,9782,626
67,2020-04-26 09:30:00,5355,767
68,2020-04-26 10:00:00,7116,874
69,2020-04-26 10:30:00,5280,939
70,2020-04-26 11:00:00,6501,533
71,2020-04-26 11:30:00,5669,756
72,2020-04-26 12:00:00,5151,948
73,2020-04-26 12:30:00,8651,990
74,2020-04-26 13:00:00,8033,996
75,2020-04-26 13:30:00,5749,888
76,2020-04-26 14:00:00,7696,945
77,2020-04-26 14:30:00,5254,541
78,2020-04-26 15:00:00,6281,837
79,2020-04-26 15:30:00,6176,504
80,2020-04-26 16:00:00,6954,609
81,2020-04-26 16:30:00,9661,907
82,2020-04-26 17:00:00,9743,777
83,2020-04-26 17:30:00,5797,933
84,2020-04-26 18:00:00,6034,979
85,2020-04-26 18:30:00,6070,763
86,2020-04-26 19:00:00,6111,562
87,2020-04-26 19:30:00,7250,672
88,2020-04-26 20:00:00,7815,743
89,2020-04-26 20:30:00,9717,904
90,2020-04-26 21:00:00,7482,619
91,2020-04-26 21:30:00,8111,781
92,2020-04-26 22:00:00,6925,710
93,2020-04-26 22:30:00,6133,501
94,2020-04-26 23:00:00,5690,529
95,2020-04-26 23:30:00,9222,640
96,2020-04-27 00:00:00,5676,648
97,2020-04-27 00:30:00,5792,806
98,2020-04-27 01:00:00,9315,518
99,2020-04-27 01:30:00,8655,759
100,2020-04-27 02:00:00,5995,766
101,2020-04-27 02:30:00,7954,944
102,2020-04-27 03:00:00,9844,786
103,2020-04-27 03:30:00,5263,984
104,2020-04-27 04:00:00,8945,925
105,2020-04-27 04:30:00,7652,715
106,2020-04-27 05:00:00,6759,865
107,2020-04-27 05:30:00,7370,787
108,2020-04-27 06:00:00,5679,985
109,2020-04-27 06:30:00,9326,700
110,2020-04-27 07:00:00,5329,532
111,2020-04-27 07:30:00,5676,627
112,2020-04-27 08:00:00,9342,973
113,2020-04-27 08:30:00,5934,947
114,2020-04-27 09:00:00,5038,607
115,2020-04-27 09:30:00,5644,552
116,2020-04-27 10:00:00,8966,641
117,2020-04-27 10:30:00,6999,798
118,2020-04-27 11:00:00,6428,848
119,2020-04-27 11:30:00,8391,895
120,2020-04-27 12:00:00,5235,994
121,2020-04-27 12:30:00,8548,806
122,2020-04-27 13:00:00,9521,562
123,2020-04-27 13:30:00,8037,522
124,2020-04-27 14:00:00,6075,778
125,2020-04-27 14:30:00,8603,964
126,2020-04-27 15:00:00,6664,987
127,2020-04-27 15:30:00,7186,532
128,2020-04-27 16:00:00,9141,628
129,2020-04-27 16:30:00,9778,500
130,2020-04-27 17:00:00,8581,655
131,2020-04-27 17:30:00,7910,807
132,2020-04-27 18:00:00,9226,864
133,2020-04-27 18:30:00,5725,915
134,2020-04-27 19:00:00,9201,548
135,2020-04-27 19:30:00,9069,694
136,2020-04-27 20:00:00,8679,659
137,2020-04-27 20:30:00,5401,540
138,2020-04-27 21:00:00,5699,962
139,2020-04-27 21:30:00,7576,812
